daily,scrapper_pos_qty,scrapper_pos_sales,scrapper_rows,client,provider,report_type,execution_date
2022/05/01,22191.0,766787.450000014,11824,TRAMONTINA,WALMART,SELLOUT,2022/05/07-19:18
2022/04/27,17736.0,363973.23992999864,7319,GRUPOVIDA,SORIANA_DD_2,SELLOUT,2022/05/07-19:18
2022/05/02,4981.0,148674.0,2688,CHATA,CALIMAX,SELLOUT,2022/05/07-19:18
2022/04/27,7379.0,105055.81999999999,48,TUNY,SANCHEZ,SELLOUT,2022/05/07-19:18
2022/05/02,18890.2,59886.36,44,TUNY,SANCHEZ,SELLOUT,2022/05/07-19:18
2022/04/30,87785.8957,1008738.2499999994,397,TUNY,SAHUAYO,SELLOUT,2022/05/07-19:18
2022/05/01,0.6875,478.84,2,TUNY,SAHUAYO,SELLOUT,2022/05/07-19:18
2022/05/02,0.6875,478.84,2,TUNY,SAHUAYO,SELLOUT,2022/05/07-19:18
2022/04/30,4897.979300000001,45712.67,24,TUNY,SAHUAYO_FIVESTARS,SELLOUT,2022/05/07-19:18
2022/05/01,20.0,5443.0,17,TUNY,HEB_2,SELLOUT,2022/05/07-19:18
2022/04/30,2724.0,40255.949999999975,744,TUNY,GARIS,SELLOUT,2022/05/07-19:18
2022/05/01,951.0,14379.88,207,TUNY,GARIS,SELLOUT,2022/05/07-19:18
2022/05/02,764.0,10936.390000000005,156,TUNY,GARIS,SELLOUT,2022/05/07-19:18
2022/04/26,17017.0,162978.959999999,561,TUNY,GARIS,SELLOUT,2022/05/07-19:18
2022/04/28,17401.0,193816.96000000002,533,TUNY,GARIS,SELLOUT,2022/05/07-19:18
