daily,scrapper_pos_qty,scrapper_pos_sales,scrapper_rows,client,config_report_id,provider,days_difference,latest_date_str,today
2022-04-20,7714.0,185071.14999999967,3762,SYM,2,CHEDRAUI,14,2022/04/20,2022/05/04
2022-04-30,2856.0,43760.87,45,TUNY,84,SANCHEZ,4,2022/04/30,2022/05/04
2022-04-30,1586.0,59926.920000000064,677,CHATA,3,FRESKO,4,2022/04/30,2022/05/04
2022-04-30,610.0,60092.81000000002,321,TRAMONTINA,9,FRESKO,4,2022/04/30,2022/05/04
2022-04-30,6294.0,150468.4299999999,1013,TUNY,1,FRESKO,4,2022/04/30,2022/05/04
2022-04-30,1611.0,21203.950000000004,176,TUNY,26,FRESKO_2,4,2022/04/30,2022/05/04
2022-04-30,1639.0,40486.50999999999,657,GRUPOVIDA,1,FRESKO,4,2022/04/30,2022/05/04
2022-05-01,5366.0,118950.25007999977,1817,GRUPOVIDA,17,SORIANA_DD_2,3,2022/05/01,2022/05/04
2022-05-02,5079.0,166822.09999919843,2217,TRAMONTINA,21,SORIANA_DW,2,2022/05/02,2022/05/04
2022-05-02,150.0,7693.456,7,CHATA,28,CITY_CLUB,2,2022/05/02,2022/05/04
2022-05-02,7471.0,154424.07649999976,765,TUNY,82,ZORRO,2,2022/05/02,2022/05/04
2022-05-02,72039.0,1283122.6899983895,7417,TUNY,3,SORIANA_DW,2,2022/05/02,2022/05/04
2022-05-02,53312.0,1099163.1098300016,7115,TUNY,30,SORIANA_DD,2,2022/05/02,2022/05/04
2022-05-02,927.0,16149.570000000003,199,TUNY,70,GARCES,2,2022/05/02,2022/05/04
2022-05-02,16852.0,2270489.5399999986,1284,TUNY,11,SAMS,2,2022/05/02,2022/05/04
2022-05-02,3264.0,127439.58999999981,1521,CHATA,25,SORIANA_DW_2,2,2022/05/02,2022/05/04
2022-05-02,12303.0,164345.62999999998,1890,TUNY,78,DUERO,2,2022/05/02,2022/05/04
2022-05-02,299.6,4948.700000000001,13,TUNY,74,CONSUMO_Z,2,2022/05/02,2022/05/04
2022-05-02,822.0,97641.91300000002,98,TUNY,28,CITY_CLUB,2,2022/05/02,2022/05/04
2022-05-02,8741.0,120817.0,1427,TUNY,13,CALIMAX,2,2022/05/02,2022/05/04
2022-05-02,58.0,10368.720000000001,27,CHATA,30,CITY_CLUB_2,2,2022/05/02,2022/05/04
2022-05-02,3940.0,93755.35992000009,841,CHATA,32,SORIANA_DD,2,2022/05/02,2022/05/04
2022-05-02,5771.663999999999,149051.33999999947,1598,CHATA,9,SORIANA_DW,2,2022/05/02,2022/05/04
2022-05-02,3264.0,127439.71002000038,1847,CHATA,34,SORIANA_DD_2,2,2022/05/02,2022/05/04
2022-05-02,944.0,508948.3599999993,678,TRAMONTINA,15,SAMS,2,2022/05/02,2022/05/04
2022-05-02,4981.0,148674.0,2688,CHATA,5,CALIMAX,2,2022/05/02,2022/05/04
2022-05-02,3387.0,212754.8299999999,302,CHATA,17,SAMS,2,2022/05/02,2022/05/04
2022-05-02,24259.0,505025.6300003065,9497,GRUPOVIDA,4,SORIANA_DW,2,2022/05/02,2022/05/04
2022-05-02,22700.0,472197.98006900365,9733,GRUPOVIDA,15,SORIANA_DD,2,2022/05/02,2022/05/04
2022-05-02,155.0,25092.057500000003,34,GRUPOVIDA,13,CITY_CLUB,2,2022/05/02,2022/05/04
2022-05-02,287.0,29959.835,30,PROAN,6,CITY_CLUB,2,2022/05/02,2022/05/04
2022-05-02,26578.0,1360921.2023000007,2706,PROAN,4,SORIANA_DD,2,2022/05/02,2022/05/04
2022-05-02,57301.0,3529164.3399999766,3816,PROAN,8,SORIANA_DW,2,2022/05/02,2022/05/04
2022-05-02,3353.0,210769.47000000003,493,LEONALI,7,SAMS,2,2022/05/02,2022/05/04
2022-05-02,445.0,17240.0,1188,TRAMONTINA,19,CALIMAX,2,2022/05/02,2022/05/04
2022-05-02,824.0,31234.65000000004,323,TRAMONTINA,7,ALSUPER,2,2022/05/02,2022/05/04
2022-05-02,465.0,221490.64980000004,57,TRAMONTINA,13,CITY_CLUB,2,2022/05/02,2022/05/04
2022-05-02,9112.0,208093.93999999965,880,TUNY,18,ALSUPER,2,2022/05/02,2022/05/04
